Order Date;Sales;Profit;Discount;Category;Region
2017-08-02;107.033.387.233.384;-532.423.133.620.868;0.234899134008611;Technology;Central
2017-05-17;924.604.523.141.927;-843.612.663.790.026;0.263392159723025;Technology;West
2015-07-24;313.978.190.191.201;278.777.051.135.297;0.112159741577029;Technology;Central
2014-06-11;215.470.429.051.352;0.0152292241364105;0.0539895988461814;Furniture;Central
2017-07-25;116.832.729.385.625;-117.681.140.786.203;0.224510374064289;Office Supplies;West
2016-02-17;710.399.964.618.498;-156.416.398.851.699;0.171098284358633;Furniture;West
2015-10-07;474.364.276.922.163;467.487.870.833.902;0.0983919125966055;Technology;South
2016-03-28;418.846.550.169.894;-667.379.114.572.267;0.156352770615196;Furniture;West
2016-08-16;753.915.380.051.644;-121.952.293.967.099;0.165815775434467;Furniture;East
2015-06-24;231.923.246.839.312;10.557.284.694.555;0.10617396968138;Office Supplies;West
2016-12-22;545.192.306.872.373;-256.142.616.023.726;0.206735694368891;Office Supplies;Central
2016-09-22;619.921.437.397.978;-252.913.717.012.567;0.203929608877946;Office Supplies;West
2015-02-16;394.963.417.291.836;960.845.684.299.668;0.103665989350322;Office Supplies;South
2015-03-28;471.626.003.901.838;474.753.182.342.729;0.0949965765159307;Technology;East
2017-03-15;748.465.407.114.412;-292.749.148.807.421;0.301004682093995;Furniture;West
2017-08-16;795.795.036.070.827;-101.382.944.066.398;0.331172893110587;Technology;South
2014-06-04;110.117.665.904.976;-0.5857746596732;0.0924347867207153;Furniture;East
2016-04-01;506.081.223.268.861;-517.889.682.844.536;0.249542268949271;Office Supplies;West
2016-09-23;694.294.871.515.617;-288.817.180.973.745;0.241938713083207;Technology;Central
2014-04-27;270.268.509.068.824;179.897.984.426.525;0.0970798063614545;Office Supplies;East
2014-06-17;286.941.251.547.285;-888.222.489.743.396;0.0835845111479986;Furniture;Central
2014-05-29;114.652.144.219.927;190.883.990.843.811;0.0939635121242271;Technology;East
2017-12-11;751.793.250.959.106;-194.596.762.417.161;0.223317186466249;Furniture;East
2015-08-01;390.271.387.665.524;332.321.844.165.003;0.0864608927398913;Office Supplies;Central
2014-01-08;227.422.675.460.276;325.431.702.214.356;0.050483484980417;Furniture;West
2017-01-22;854.129.174.965.067;-190.304.083.323.018;0.231511480750963;Technology;Central
2015-05-27;465.240.410.435.303;-146.305.021.328.813;0.140522398735398;Office Supplies;Central
2016-04-24;667.962.851.715.279;-215.860.941.138.463;0.188254172259693;Technology;Central
2016-08-21;748.529.214.345.203;-118.134.658.599.704;0.156942075466282;Furniture;South
2015-12-21;453.098.348.981.624;25.423.021.951.649;0.120641281361709;Office Supplies;South
2017-05-06;11.497.523.664.556;-498.951.257.113.257;0.320976630455016;Furniture;Central
2017-11-07;865.100.018.021.298;-284.043.837.648.207;0.246392699331298;Furniture;West
2016-04-16;665.971.773.685.109;-130.144.438.920.062;0.190607516875816;Furniture;Central
2015-09-15;381.998.471.143.929;377.585.334.384.713;0.13556147793742;Technology;South
2017-09-11;855.209.732.147.458;-657.600.474.290.946;0.291691095959102;Technology;Central
2014-05-30;243.669.183.099.798;-606.476.022.067.656;0.0946329913105683;Furniture;West
2015-03-25;274.759.483.897.992;265.904.493.346.911;0.149152471714651;Technology;South
2016-06-25;758.883.241.293.305;-185.675.033.928.416;0.213766143677616;Furniture;South
2016-12-03;514.291.260.345.261;-104.238.775.709.503;0.173126147972819;Furniture;West
2017-12-17;803.417.194.757.205;-343.583.532.608.635;0.32850980484559;Furniture;South
2017-03-25;114.582.077.098.426;-465.858.878.295.578;0.334671702109879;Furniture;East
2016-09-26;667.549.448.249.167;-181.440.714.821.085;0.248072197751892;Furniture;South
2016-03-17;746.740.542.238.052;-164.778.851.547.489;0.183750054807387;Furniture;East
2015-07-24;224.571.869.828.493;133.814.293.740.652;0.125510086527491;Office Supplies;South
2014-03-05;26.784.576.925.692;131.118.769.444.641;0.0973878511108326;Office Supplies;West
2017-05-25;989.342.366.254.622;-404.210.332.366.961;0.341220589781196;Furniture;East
2015-02-11;431.744.265.485.367;261.836.815.227.279;0.134784474245271;Technology;West
2016-01-29;596.080.681.996.163;137.777.318.504.517;0.165299114909386;Technology;Central
2016-12-04;70.985.658.014.863;-142.649.496.127.785;0.174549516909369;Office Supplies;Central
2015-07-26;370.954.893.403.497;142.281.952.848.255;0.114128495267394;Office Supplies;West
2015-07-27;35.498.817.551.448;16.658.724.311.232;0.0968226755286951;Office Supplies;Central
2016-07-06;497.322.065.550.703;-535.065.279.722.694;0.249663146395933;Office Supplies;East
2015-12-22;269.161.412.389.552;112.842.435.929.303;0.128311448789839;Office Supplies;Central
2015-07-21;44.978.850.899.812;211.613.842.051.157;0.0888608071893587;Office Supplies;Central
2015-08-22;425.837.652.737.376;144.703.157.801.563;0.10384941527922;Office Supplies;West
2016-09-05;651.778.282.780.799;-385.002.947.735.449;0.249391812271022;Technology;East
2016-05-02;763.401.751.049.522;-123.391.052.531.264;0.156023030437254;Furniture;West
2014-07-23;225.103.006.081.321;240.541.088.238.527;0.0578266307721569;Office Supplies;West
2014-03-08;240.597.511.618.743;409.366.179.766.104;0.0812529003582111;Technology;Central
2017-01-20;782.961.394.610.362;-229.185.434.428.518;0.218653048726206;Furniture;West
2017-11-11;74.022.092.594.965;-225.781.067.619.262;0.213699032994648;Furniture;South
2017-10-12;720.115.836.572.308;-694.210.157.892.762;0.227223372083469;Office Supplies;East
2017-04-13;860.529.127.978.286;-354.436.284.284.551;0.299387530548714;Furniture;South
2016-03-31;529.309.514.510.398;-414.779.255.241.917;0.215766038648313;Office Supplies;East
2016-04-26;576.816.382.288.905;-240.958.079.851.915;0.238084661735781;Technology;Central
2014-03-01;241.956.565.020.052;144.752.480.442.873;0.0920702840808518;Office Supplies;West
2014-11-12;201.774.403.013.902;-681.413.679.670.217;0.0775632538440235;Furniture;Central
2014-10-07;254.535.026.535.401;244.169.722.414.719;0.0501282629679289;Office Supplies;Central
2017-09-13;108.143.633.880.999;-335.420.865.762.782;0.235820831624937;Furniture;West
2016-02-24;682.091.152.410.001;-20.154.487.032.082;0.248081813865978;Furniture;South
2014-03-17;273.940.062.672.443;391.973.198.531.403;0.0861221913785321;Technology;Central
2016-08-19;659.934.661.031.709;-159.654.112.924.257;0.18166611539334;Office Supplies;Central
2016-09-26;673.759.829.762.367;-654.762.488.153.057;0.226036969299426;Office Supplies;East
2014-07-25;280.684.812.410.097;0.498731879651167;0.0572784897849699;Furniture;Central
2014-12-15;223.942.073.707.483;363.058.025.886.006;0.0626988669706771;Technology;South
2015-08-13;483.570.690.480.394;329.499.937.131.366;0.111978506886745;Office Supplies;West
2016-09-16;797.076.817.450.759;264.484.376.141.642;0.20659290169557;Technology;South
2014-04-11;266.567.779.934.638;318.163.935.401.532;0.0609502269464053;Office Supplies;South
2017-09-12;854.466.441.976.318;-270.600.050.205.147;0.244266567744373;Furniture;West
2016-04-30;54.634.301.224.605;-253.820.641.638.105;0.24441878160972;Technology;West
2015-08-28;340.499.416.655.809;400.772.336.772.852;0.127208436121016;Office Supplies;Central
2017-02-15;103.641.419.093.688;-273.679.297.706.402;0.216251915329885;Furniture;South
2015-04-24;266.410.160.022.197;-126.538.933.517.137;0.108580709905679;Furniture;Central
2015-09-16;466.177.792.558.551;10.840.789.435.708;0.14621818600456;Office Supplies;East
2014-11-13;266.738.616.659.264;300.683.912.884.921;0.0608634842348781;Office Supplies;East
2017-11-05;117.450.539.413.107;-495.253.478.270.237;0.345663996809748;Furniture;Central
2014-04-14;297.764.180.788.284;267.383.730.096.888;0.0793191541790781;Office Supplies;West
2017-05-05;754.963.173.944.718;-528.557.256.012.863;0.288327938307566;Technology;West
2014-02-02;125.351.708.742.556;196.673.955.506.774;0.0681019486908756;Technology;East
2017-06-13;939.490.955.499.182;-382.426.163.899.525;0.211023607364968;Technology;Central
2014-06-15;113.136.446.664.023;-643.608.616.383.315;0.0997313877930462;Furniture;West
2014-07-23;270.558.547.459.115;20.248.381.820.012;0.0725777457982641;Office Supplies;East
2016-05-01;549.720.409.374.215;-783.411.836.673.502;0.159323010170368;Furniture;Central
2016-02-03;531.858.392.566.482;-522.452.408.451.742;0.236809214886907;Office Supplies;East
2015-08-13;352.223.764.090.401;196.138.001.706.951;0.118938583327303;Office Supplies;Central
2015-04-09;397.349.368.399.667;0.313954535236924;0.144507626472322;Office Supplies;East
2014-10-21;113.917.084.249.667;-0.264156421729119;0.0688097202851744;Furniture;South
2015-10-27;246.673.971.021.346;423.047.447.835.765;0.10968103411791;Office Supplies;East
2015-03-18;233.266.931.660.279;128.919.667.873.107;0.0954362904851767;Office Supplies;East
2015-02-23;429.248.268.728.374;-218.654.457.350.671;0.089042999123145;Furniture;West
2017-02-18;709.370.768.292.823;-106.313.488.778.545;0.30642484423534;Office Supplies;Central
2016-05-05;720.528.861.724.181;-177.640.016.239.025;0.23444843598147;Furniture;South
2017-04-21;866.534.311.246.566;-394.174.017.435.201;0.335888409737008;Furniture;East
2015-12-17;243.933.265.483.308;-900.241.254.671.306;0.092400229026306;Furniture;West
2017-02-28;119.326.597.386.793;-187.197.221.838.706;0.270338162528956;Office Supplies;South
2017-07-17;930.871.243.223.227;-444.913.966.182.455;0.346605279879972;Furniture;Central
2014-07-04;192.542.331.785.455;143.619.992.974.218;0.0904907958848986;Office Supplies;South
2014-11-05;120.700.375.454.078;124.768.682.553.624;0.0586279455718183;Office Supplies;South
2016-12-06;563.507.758.898.928;-911.285.197.857.803;0.156591185427972;Furniture;Central
2017-10-21;113.663.983.103.027;-517.586.538.238.524;0.345154476153912;Furniture;Central
2017-12-01;88.833.965.302.815;-336.365.122.752.248;0.310816200819422;Furniture;West
2017-11-04;881.298.834.491.022;-120.182.184.653.607;0.233981456980083;Office Supplies;East
2014-10-09;268.885.677.737.177;538.706.679.386.777;0.0518873746178781;Technology;Central
2016-02-11;72.361.748.785.572;156.552.633.606.091;0.173753020144692;Technology;West
2015-08-07;271.750.549.173.656;141.998.570.156.144;0.127481477754557;Office Supplies;South
2015-08-01;445.067.371.874.372;0.912229567067477;0.141188186153657;Office Supplies;South
2016-11-22;57.972.768.814.953;-379.567.760.647.587;0.23167032558555;Office Supplies;Central
2014-02-24;200.401.422.938.647;-147.356.279.760.733;0.0965412952374977;Furniture;South
2014-10-09;239.214.397.715.197;328.198.692.306.029;0.0539612885635361;Technology;South
2017-05-31;819.219.751.729.911;-280.779.440.856.839;0.274974383335641;Furniture;East
2017-01-02;876.408.019.813.017;-554.994.062.025.781;0.254090563656031;Technology;West
